Date,Amount
2014/12/14,-15.68
2014/12/11,-18.03
2014/12/11,-2.65
2014/12/10,-22.32
2014/12/10,34.95
2014/12/08,-0.99
2014/12/07,-34.95
2014/12/07,-10.89
2014/12/05,-16.83
2014/12/03,-10.78
2014/12/03,-10.59
2014/12/03,-4.24
2014/12/03,-1.01
2014/12/02,-7.99
2014/12/02,-4.4
2014/12/01,-9.59
2014/11/30,-12.79
2014/11/30,-11.32
2014/11/29,0.01
2014/11/27,-49
2014/11/23,-11.74
2014/11/21,-29.87
2014/11/16,-12.29
2014/11/16,-6.34
2014/11/09,-21.04
2014/11/07,-34.95
2014/11/05,-15.89
2014/11/03,-10.59
2014/11/01,0.01
2014/10/26,-7.29
2014/10/19,-6.13
2014/10/12,-11.95
2014/10/12,-4.99
2014/10/08,-7.15
2014/10/07,-10.11
2014/10/05,-11.56
2014/10/02,-12
2014/10/01,0.02
2014/09/28,-39.19
2014/09/23,-7.93
2014/09/21,-13
2014/09/18,100
2014/09/17,31.27
2014/09/15,-7.07
2014/09/15,-1.26
2014/09/14,-10.89
2014/09/11,75
2014/09/07,-9.94
2014/09/03,-30
2014/09/03,-2.11
2014/08/30,0.01
2014/08/28,-4.23
2014/08/24,-7.25
2014/08/18,52.54
2014/08/17,-5.29
2014/08/10,-19.89
2014/08/09,-30.22
2014/08/04,-26.15
2014/08/03,-10.59
2014/08/03,-9.16
2014/08/01,-75
2014/08/01,0.04
2014/07/27,-41.25
2014/07/26,-34.31
2014/07/26,-2.33
2014/07/24,-6
2014/07/20,-9.94
2014/07/19,-2.65
2014/07/19,4
2014/07/19,5.65
2014/07/13,-4
2014/07/11,-13
2014/07/06,-9.94
2014/07/05,-25
2014/07/05,-12.91
2014/07/04,100
2014/07/01,0.02
2014/06/29,-127.32
2014/06/29,1
2014/06/28,-50
2014/06/24,1
2014/06/22,-7.94
2014/06/22,-2
2014/06/21,-12.49
2014/06/14,-3.76
2014/06/14,-3.13
2014/06/08,-3.45
2014/05/31,0.01
2014/05/21,150
2014/05/17,-70.36
2014/05/17,-35.79
2014/05/12,300
2014/05/07,-3.98
2014/05/04,-9.94
2014/04/24,600
2014/04/20,-17.45
2014/04/17,-5
2014/04/11,-28
2014/04/10,300
2014/04/04,-17.94
2014/04/01,0.01
2014/03/30,-13.95
2014/03/22,-13
2014/03/16,-9.94
2014/02/16,-9.41
2014/02/01,-4.29
2014/01/16,222.74
2014/01/12,-13.76
2014/01/10,-38.41
2014/01/08,-18.98
2014/01/08,-13
2014/01/03,-15
2014/01/01,-2.32
2014/01/01,0.01
2013/12/30,-9.91
2013/12/27,-5.83
2013/12/24,100
2013/12/20,-29.23
2013/12/19,-8.43
2013/12/16,-78.42
2013/12/16,-4.82
2013/12/13,-4.5
2013/12/10,-26.15
2013/12/03,-3.98
2013/11/29,-9
2013/11/27,-49
2013/11/16,-4.23
2013/11/10,-25.51
2013/11/10,-5.93
2013/11/10,-3.17
2013/11/06,-19
2013/11/06,-13
2013/11/01,0.01
2013/10/29,-4.28
2013/10/22,-2.98
2013/10/19,-3.4
2013/10/18,200
2013/10/17,-3.4
2013/10/11,-5.57
2013/10/09,500
2013/10/03,-63.08
2013/10/03,-26.52
2013/10/03,-1.59
2013/09/27,200
